emp_name,department,join_date,salary,age,performance_rating,city,remote_work
Employee_120,Engineering,2020-07-21 11:57:36,86556.41,47,4,Chennai,Yes
Employee_121,Finance,2020-07-29 08:01:36,75437.87,42,5,Bangalore,No
Employee_122,Finance,2020-08-06 04:05:37,57121.11,43,5,Bangalore,No
Employee_123,Engineering,2020-08-14 00:09:38,59657.71,28,4,Bangalore,Yes
Employee_124,Sales,2020-08-21 20:13:39,41954.47,35,,Delhi,nan
Employee_125,Sales,2020-08-29 16:17:40,59666.76,36,1,Pune,NO
Employee_126,Engineering,2020-09-06 12:21:40,54804.14,28,3,Delhi,yes
Employee_127,Finance,2020-09-14 08:25:41,65808.93,30,1,Mumbai,No
Employee_128,Finance,2020-09-22 04:29:42,,29,4,Bangalore,No
Employee_129,Sales,2020-09-30 00:33:43,69348.24,44,5,Mumbai,yes
Employee_130,Engineering,2020-10-07 20:37:44,87589.3,50,3,Chennai,No
Employee_131,Engineering,2020-10-15 16:41:44,58042.32,39,5,Chennai,Yes
Employee_132,Sales,2020-10-23 12:45:45,67230.81,52,2,Delhi,No
Employee_133,Sales,2020-10-31 08:49:46,72422.59,51,5,Pune,NO
Employee_134,MARKETING,2020-11-08 04:53:47,52778.03,56,3,Mumbai,No
Employee_135,Finance,2020-11-16 00:57:48,64033.66,39,2,Pune,Yes
Employee_136,Engineering,2020-11-23 21:01:48,60226.66,38,4,Delhi,NO
Employee_137,Engineering,2020-12-01 17:05:49,61758.17,35,3,Chennai,Yes
Employee_138,HR,2020-12-09 13:09:50,46085.82,52,3,Pune,Yes
Employee_139,Engineering,2020-12-17 09:13:51,60441.18,45,3,Pune,Yes
Employee_140,,2020-12-25 05:17:52,68963.97,56,5,Chennai,No
Employee_141,,2021-01-02 01:21:52,86120.58,55,4,Mumbai,NO
Employee_142,Engineering,2021-01-09 21:25:53,77266.87,24,3,Chennai,No
Employee_143,ENGINEERING,2021-01-17 17:29:54,98757.28,58,4,Pune,Yes
Employee_144,Engineering,2021-01-25 13:33:55,46187.74,47,4,Mumbai,NO
Employee_145,Engineering,2021-02-02 09:37:56,75701.77,44,3,Mumbai,NO
Employee_146,Sales,2021-02-10 05:41:56,63300.16,36,4,Chennai,NO
Employee_147,Marketing,2021-02-18 01:45:57,99416.45,25,2,Pune,Yes
Employee_148,Engineering,2021-02-25 21:49:58,45450.63,50,3,Delhi,No
Employee_149,Sales,2021-03-05 17:53:59,44885.01,43,4,Pune,nan
Employee_150,Engineering,2021-03-13 13:58:00,49210.93,46,3,Bangalore,NO
Employee_151,Finance,2021-03-21 10:02:00,,34,4,Delhi,Yes
Employee_152,Sales,2021-03-29 06:06:01,,39,4,Mumbai,Yes
Employee_153,Sales,2021-04-06 02:10:02,46335.61,54,2,Delhi,No
Employee_154,Engineering,2021-04-13 22:14:03,62707.09,37,4,Mumbai,nan
Employee_155,,2021-04-21 18:18:04,66151.61,23,3,Mumbai,No
Employee_156,Sales,2021-04-29 14:22:04,93771.08,56,,Delhi,No
Employee_157,Marketing,2021-05-07 10:26:05,77107.63,55,4,Mumbai,Yes
Employee_158,HR,2021-05-15 06:30:06,,51,5,Mumbai,yes
Employee_159,Sales,2021-05-23 02:34:07,43828.54,34,4,Bangalore,NO
Employee_160,HR,2021-05-30 22:38:08,68854.55,34,1,Pune,No
Employee_161,Engineering,2021-06-07 18:42:08,36235.8,39,4,Pune,NO
Employee_162,Marketing,2021-06-15 14:46:09,92966.26,53,,Bangalore,nan
Employee_163,Marketing,2021-06-23 10:50:10,81229.92,53,4,Delhi,Yes
Employee_164,Engineering,2021-07-01 06:54:11,51554.84,56,5,Chennai,No
Employee_165,Sales,2021-07-09 02:58:12,29163.58,50,5,Chennai,Yes
Employee_166,Finance,2021-07-16 23:02:12,84369.7,50,3,Chennai,NO
Employee_167,Engineering,2021-07-24 19:06:13,57938.28,37,3,Bangalore,No
Employee_168,Sales,2021-08-01 15:10:14,82280.69,31,4,Bangalore,No
Employee_169,Sales,2021-08-09 11:14:15,31300.3,51,4,Mumbai,NO
Employee_170,Marketing,2021-08-17 07:18:16,49211.25,46,5,Chennai,No
Employee_171,Marketing,2021-08-25 03:22:16,60094.39,41,5,Delhi,nan
Employee_172,Sales,2021-09-01 23:26:17,60845.65,26,3,Delhi,No
Employee_173,ENGINEERING,2021-09-09 19:30:18,51898.82,22,3,Chennai,Yes
Employee_174,Sales,2021-09-17 15:34:19,71211.3,51,5,Chennai,yes
Employee_175,Marketing,2021-09-25 11:38:20,40782.83,24,3,Chennai,NO
Employee_176,Sales,2021-10-03 07:42:20,57437.17,35,5,Bangalore,No
Employee_177,Marketing,2021-10-11 03:46:21,62165.32,51,4,Bangalore,NO
Employee_178,Engineering,2021-10-18 23:50:22,69259.9,25,4,Bangalore,nan
Employee_179,Finance,2021-10-26 19:54:23,72809.07,39,2,Pune,Yes
Employee_180,Sales,2021-11-03 15:58:24,39756.44,58,4,Delhi,nan
Employee_181,Engineering,2021-11-11 12:02:24,32385.94,46,4,Delhi,Yes
Employee_182,Sales,2021-11-19 08:06:25,82998.18,22,4,Mumbai,Yes
Employee_183,Finance,2021-11-27 04:10:26,65981.65,36,3,Bangalore,Yes
Employee_184,Finance,2021-12-05 00:14:27,46527.24,30,4,Pune,NO
Employee_185,Engineering,2021-12-12 20:18:28,87920.74,36,5,Pune,yes
Employee_186,Marketing,2021-12-20 16:22:28,,45,3,Delhi,Yes
Employee_187,Finance,2021-12-28 12:26:29,81227.35,25,2,Bangalore,No
Employee_188,Marketing,2022-01-05 08:30:30,61215.33,33,1,Mumbai,No
Employee_189,Engineering,2022-01-13 04:34:31,97093.46,58,4,Bangalore,Yes
Employee_190,Sales,2022-01-21 00:38:32,,58,4,Chennai,NO
Employee_191,Sales,2022-01-28 20:42:33,55518.65,27,4,Bangalore,NO
Employee_192,Finance,2022-02-05 16:46:33,77488.28,45,3,Chennai,No
Employee_193,Finance,2022-02-13 12:50:34,71616.77,32,3,Chennai,nan
Employee_194,Marketing,2022-02-21 08:54:35,84635.37,34,4,Mumbai,No
Employee_195,Engineering,2022-03-01 04:58:36,42631.38,55,4,Delhi,nan
Employee_196,Engineering,2022-03-09 01:02:37,72348.93,46,,Bangalore,yes
Employee_197,HR,2022-03-16 21:06:37,79051.64,28,2,Chennai,No
Employee_198,Finance,2022-03-24 17:10:38,28342.69,25,4,Bangalore,Yes
Employee_199,Finance,2022-04-01 13:14:39,38701.35,29,4,Delhi,NO
Employee_200,HR,2022-04-09 09:18:40,23293.82,,4,Delhi,No
Employee_201,Marketing,2022-04-17 05:22:41,55150.68,50,4,Pune,Yes
Employee_202,Sales,2022-04-25 01:26:41,72915.76,31,4,Delhi,Yes
Employee_203,Sales,2022-05-02 21:30:42,,55,,Mumbai,No
Employee_204,Finance,2022-05-10 17:34:43,61333.71,47,2,Chennai,No
Employee_205,Marketing,2022-05-18 13:38:44,89315.08,24,2,Pune,yes
Employee_206,Sales,2022-05-26 09:42:45,35158.17,27,4,Mumbai,NO
Employee_207,Sales,2022-06-03 05:46:45,29339.12,26,4,Bangalore,Yes
Employee_208,Marketing,2022-06-11 01:50:46,59000.14,26,3,Chennai,yes
Employee_209,Sales,2022-06-18 21:54:47,66913.18,44,2,Delhi,Yes
Employee_210,Sales,2022-06-26 17:58:48,59411.49,30,2,Chennai,NO
Employee_211,Engineering,2022-07-04 14:02:49,22786.04,56,5,Bangalore,NO
Employee_212,Marketing,2022-07-12 10:06:49,58395.84,41,3,Pune,No
Employee_213,Marketing,2022-07-20 06:10:50,36519.55,56,3,Pune,yes
Employee_214,Sales,2022-07-28 02:14:51,72054.11,39,3,Pune,No
Employee_215,SALES,2022-08-04 22:18:52,66598.77,38,3,Delhi,No
Employee_216,Sales,2022-08-12 18:22:53,43082.16,45,2,Mumbai,NO
Employee_217,Engineering,2022-08-20 14:26:53,50750.4,24,4,Mumbai,No
Employee_218,HR,2022-08-28 10:30:54,40934.16,53,2,Chennai,No
Employee_219,Marketing,2022-09-05 06:34:55,58871.78,56,5,Delhi,No
Employee_220,Finance,2022-09-13 02:38:56,77192.56,59,3,Pune,NO
Employee_221,Marketing,2022-09-20 22:42:57,42256.93,34,4,Pune,No
Employee_222,Marketing,2022-09-28 18:46:57,69072.84,46,5,Bangalore,Yes
Employee_223,Sales,2022-10-06 14:50:58,50455.36,30,4,Bangalore,yes
Employee_224,Engineering,2022-10-14 10:54:59,45728.29,25,4,Pune,NO
Employee_225,Engineering,2022-10-22 06:59:00,58073.45,35,3,Pune,Yes
Employee_226,Sales,2022-10-30 03:03:01,41365.64,58,3,Delhi,Yes
Employee_227,,2022-11-06 23:07:01,50034.31,55,4,Mumbai,Yes
Employee_228,Engineering,2022-11-14 19:11:02,38438.2,32,,Bangalore,No
Employee_229,Finance,2022-11-22 15:15:03,95365.05,24,4,Mumbai,No
Employee_230,Marketing,2022-11-30 11:19:04,60634.74,49,4,Delhi,yes
Employee_231,HR,2022-12-08 07:23:05,47404.94,50,4,Pune,yes
Employee_232,Engineering,2022-12-16 03:27:05,63851.64,30,4,Mumbai,No
Employee_233,Marketing,2022-12-23 23:31:06,57978.1,24,2,Pune,No
Employee_234,Engineering,2022-12-31 19:35:07,56022.55,46,4,Pune,NO
Employee_235,Sales,2023-01-08 15:39:08,,55,,Chennai,No
Employee_236,HR,2023-01-16 11:43:09,73635.14,33,3,Mumbai,nan
Employee_237,Engineering,2023-01-24 07:47:09,50450.98,30,4,Mumbai,No
Employee_238,Sales,2023-02-01 03:51:10,49635.27,36,3,Pune,Yes
Employee_239,Marketing,2023-02-08 23:55:11,55049.07,46,4,Delhi,yes
Employee_240,Sales,2023-02-16 19:59:12,18565.42,26,2,Chennai,No
Employee_241,Finance,2023-02-24 16:03:13,32726.56,32,4,Pune,yes
Employee_242,,2023-03-04 12:07:13,84603.74,55,5,Bangalore,Yes
Employee_243,SALES,2023-03-12 08:11:14,,45,3,Bangalore,Yes
Employee_244,Engineering,2023-03-20 04:15:15,55517.35,36,4,Chennai,NO
Employee_245,Sales,2023-03-28 00:19:16,70378.03,59,5,Delhi,Yes
Employee_246,Finance,2023-04-04 20:23:17,65602.5,29,5,Pune,NO
Employee_247,Engineering,2023-04-12 16:27:17,115419.85,26,3,Mumbai,Yes
Employee_248,,2023-04-20 12:31:18,80152.35,47,3,Chennai,No
Employee_249,,2023-04-28 08:35:19,57697.48,39,3,Delhi,yes
Employee_250,Finance,2023-05-06 04:39:20,42800.27,27,,Mumbai,No
Employee_251,Engineering,2023-05-14 00:43:21,31083.97,58,5,Bangalore,No
Employee_252,Engineering,2023-05-21 20:47:21,63662.35,34,4,Bangalore,Yes
Employee_253,Finance,2023-05-29 16:51:22,46385.69,49,5,Mumbai,Yes
Employee_254,Engineering,2023-06-06 12:55:23,34399.43,26,4,Chennai,No
Employee_255,Sales,2023-06-14 08:59:24,48361.69,34,4,Bangalore,yes
Employee_256,Marketing,2023-06-22 05:03:25,40532.14,38,2,Pune,nan
Employee_257,Finance,2023-06-30 01:07:25,90368.55,53,5,Mumbai,NO
Employee_258,Marketing,2023-07-07 21:11:26,75869.52,50,2,Mumbai,NO
Employee_259,Marketing,2023-07-15 17:15:27,59856.49,24,5,Bangalore,NO
Employee_260,Sales,2023-07-23 13:19:28,86638.99,55,5,Chennai,yes
Employee_261,Marketing,2023-07-31 09:23:29,61392.63,48,4,Pune,Yes
Employee_262,,2023-08-08 05:27:29,44496.88,34,1,Chennai,nan
Employee_263,Sales,2023-08-16 01:31:30,87416.23,54,3,Delhi,yes
Employee_264,Engineering,2023-08-23 21:35:31,69700.38,27,3,Delhi,No
Employee_265,Finance,2023-08-31 17:39:32,41329.57,45,3,Bangalore,Yes
Employee_266,HR,2023-09-08 13:43:33,56573.9,40,2,Bangalore,No
Employee_267,Marketing,2023-09-16 09:47:34,44238.87,37,5,Bangalore,No
Employee_268,HR,2023-09-24 05:51:34,35109.6,49,4,Delhi,NO
Employee_269,Engineering,2023-10-02 01:55:35,76671.2,54,3,Chennai,No
Employee_270,Engineering,2023-10-09 21:59:36,94369.5,34,3,Chennai,No
Employee_271,Finance,2023-10-17 18:03:37,34825.78,46,4,Bangalore,nan
Employee_272,Finance,2023-10-25 14:07:38,70133.45,57,4,Pune,Yes
Employee_273,Finance,2023-11-02 10:11:38,48288.43,48,4,Chennai,No
Employee_274,ENGINEERING,2023-11-10 06:15:39,51231.74,59,5,Delhi,Yes
Employee_275,Engineering,2023-11-18 02:19:40,49336.91,28,4,Mumbai,yes
Employee_276,Engineering,2023-11-25 22:23:41,44448.17,26,,Mumbai,nan
Employee_277,HR,2023-12-03 18:27:42,60873.39,52,5,Mumbai,Yes
Employee_278,Marketing,2023-12-11 14:31:42,45042.9,44,3,Pune,NO
Employee_279,HR,2023-12-19 10:35:43,64868.22,,5,Bangalore,Yes
Employee_280,HR,2023-12-27 06:39:44,59095.71,53,2,Delhi,nan
Employee_281,Finance,2024-01-04 02:43:45,55698.94,51,5,Pune,NO
Employee_282,Engineering,2024-01-11 22:47:46,43663.85,52,3,Delhi,NO
Employee_283,Engineering,2024-01-19 18:51:46,49618.12,39,5,Delhi,Yes
Employee_284,Sales,2024-01-27 14:55:47,73597.04,57,5,Bangalore,nan
Employee_285,Marketing,2024-02-04 10:59:48,69016.51,23,5,Mumbai,yes
Employee_286,Sales,2024-02-12 07:03:49,42404.01,35,5,Bangalore,No
Employee_287,Engineering,2024-02-20 03:07:50,61787.98,34,3,Pune,NO
Employee_288,Engineering,2024-02-27 23:11:50,73524.97,50,2,Pune,Yes
Employee_289,Engineering,2024-03-06 19:15:51,29950.7,33,4,Pune,NO
Employee_290,Marketing,2024-03-14 15:19:52,69780.48,23,3,Bangalore,Yes
Employee_291,Sales,2024-03-22 11:23:53,48072.77,53,4,Delhi,yes
Employee_292,Sales,2024-03-30 07:27:54,70270.78,34,3,Delhi,No
Employee_293,Finance,2024-04-07 03:31:54,46261.34,48,,Chennai,Yes
Employee_294,Engineering,2024-04-14 23:35:55,27512.12,38,4,Pune,Yes
Employee_295,Sales,2024-04-22 19:39:56,30704.24,52,5,Delhi,Yes
Employee_296,Engineering,2024-04-30 15:43:57,60865.53,55,2,Chennai,No
Employee_297,SALES,2024-05-08 11:47:58,64675.01,45,5,Delhi,No
Employee_298,Sales,2024-05-16 07:51:58,43722.3,56,5,Pune,No
Employee_299,Marketing,2024-05-24 03:55:59,71494.66,27,4,Mumbai,Yes
Employee_300,Sales,2024-06-01 00:00:00,30092.64,40,4,Pune,Yes
Employee_190,Sales,2022-01-21 00:38:32,,58,4,Chennai,NO
Employee_124,Sales,2020-08-21 20:13:39,41954.47,35,,Delhi,nan
Employee_186,Marketing,2021-12-20 16:22:28,,45,3,Delhi,Yes
Employee_214,Sales,2022-07-28 02:14:51,72054.11,39,3,Pune,No
Employee_107,Engineering,2020-04-10 15:05:25,67432.77,46,4,Bangalore,Yes
Employee_128,Finance,2020-09-22 04:29:42,,29,4,Bangalore,No
Employee_177,Marketing,2021-10-11 03:46:21,62165.32,51,4,Bangalore,NO
Employee_74,Finance,2019-07-27 00:52:59,62111.89,30,2,Bangalore,Yes
