emp_name,department,salary,age,performance_rating,city,remote_work,join_date_only,tenure_years,age_group
Employee_72,Sales,70986.66,38,3.0,Pune,Yes,2019-07-11,7,31-45
Employee_73,Sales,59623.77,55,4.0,Bangalore,Unknown,2019-07-19,7,46-60
Employee_74,Finance,62111.89,30,2.0,Bangalore,Yes,2019-07-27,7,18-30
Employee_75,HR,82997.97,47,4.0,Pune,Yes,2019-08-03,7,46-60
Employee_76,HR,49351.72,23,4.0,Chennai,No,2019-08-11,7,18-30
Employee_77,HR,69847.75,30,1.0,Pune,No,2019-08-19,7,18-30
Employee_78,Sales,56360.53,42,4.0,Pune,No,2019-08-27,7,31-45
Employee_79,Engineering,56081.74,38,4.0,Bangalore,Yes,2019-09-04,7,31-45
Employee_80,Sales,79777.98,22,5.0,Bangalore,No,2019-09-12,7,18-30
Employee_81,Finance,74857.49,46,5.0,Pune,Yes,2019-09-19,7,46-60
Employee_82,Marketing,59856.49,46,4.0,Pune,Yes,2019-09-27,6,46-60
Employee_83,Engineering,83498.62,56,4.0,Pune,Unknown,2019-10-05,6,46-60
Employee_84,Sales,60378.07,24,5.0,Bangalore,Yes,2019-10-13,6,18-30
Employee_85,Marketing,72275.15,58,4.0,Pune,No,2019-10-21,6,46-60
Employee_86,Engineering,54415.2,51,3.0,Pune,No,2019-10-29,6,46-60
Employee_87,HR,65834.99,59,4.0,Delhi,No,2019-11-05,6,46-60
Employee_88,Marketing,57657.43,55,5.0,Chennai,No,2019-11-13,6,46-60
Employee_89,Finance,61745.93,42,5.0,Mumbai,Yes,2019-11-21,6,31-45
Employee_90,Engineering,70712.83,40,5.0,Chennai,Yes,2019-11-29,6,31-45
Employee_91,Sales,45272.03,58,4.0,Delhi,Unknown,2019-12-07,6,46-60
Employee_92,HR,97662.97,38,5.0,Mumbai,No,2019-12-15,6,31-45
Employee_93,HR,60873.39,31,2.0,Pune,Unknown,2019-12-22,6,31-45
Employee_94,Marketing,38144.6,33,4.0,Delhi,Yes,2019-12-30,6,31-45
Employee_95,HR,80846.0,37,1.0,Pune,No,2020-01-07,6,31-45
Employee_96,Engineering,74249.93,45,3.0,Bangalore,Yes,2020-01-15,6,31-45
Employee_97,Engineering,71234.16,40,3.0,Delhi,Yes,2020-01-23,6,31-45
Employee_98,Engineering,71310.22,42,3.0,Bangalore,Unknown,2020-01-31,6,31-45
Employee_99,Sales,59779.56,52,4.0,Delhi,Yes,2020-02-07,6,46-60
Employee_100,Sales,43849.42,42,3.0,Delhi,Yes,2020-02-15,6,31-45
Employee_101,Sales,61364.48,38,4.0,Bangalore,Yes,2020-02-23,6,31-45
Employee_102,Marketing,47811.09,44,3.0,Mumbai,No,2020-03-02,6,31-45
Employee_103,Engineering,77552.16,58,3.0,Chennai,No,2020-03-10,6,46-60
Employee_104,Engineering,57352.97,37,3.0,Pune,Unknown,2020-03-18,6,31-45
Employee_105,Finance,45141.05,27,2.0,Delhi,No,2020-03-25,6,18-30
Employee_106,Sales,54215.05,29,4.0,Pune,No,2020-04-02,6,18-30
Employee_107,Engineering,67432.77,46,4.0,Bangalore,Yes,2020-04-10,6,46-60
Employee_108,HR,49852.96,39,4.0,Pune,Yes,2020-04-18,6,31-45
Employee_109,Sales,45200.03,46,4.0,Bangalore,Yes,2020-04-26,6,46-60
Employee_110,Sales,64386.37,33,3.0,Pune,Yes,2020-05-04,6,31-45
Employee_111,Engineering,64409.4,36,5.0,Chennai,No,2020-05-11,6,31-45
Employee_112,Sales,50875.02,47,4.0,Chennai,No,2020-05-19,6,46-60
Employee_113,Finance,51521.31,47,4.0,Chennai,No,2020-05-27,6,46-60
Employee_114,Finance,64176.9,53,1.0,Chennai,Yes,2020-06-04,6,46-60
Employee_115,Engineering,33934.48,31,3.0,Chennai,No,2020-06-12,6,31-45
Employee_116,Finance,34665.65,37,3.0,Chennai,Yes,2020-06-20,6,31-45
Employee_117,Finance,47068.0,28,3.0,Bangalore,Yes,2020-06-27,6,18-30
Employee_118,Sales,56157.95,38,4.0,Delhi,Yes,2020-07-05,6,31-45
Employee_119,Finance,65596.34,44,4.0,Pune,No,2020-07-13,6,31-45
Employee_120,Engineering,86556.41,47,4.0,Chennai,Yes,2020-07-21,6,46-60
Employee_121,Finance,75437.87,42,5.0,Bangalore,No,2020-07-29,6,31-45
Employee_122,Finance,57121.11,43,5.0,Bangalore,No,2020-08-06,6,31-45
Employee_123,Engineering,59657.71,28,4.0,Bangalore,Yes,2020-08-14,6,18-30
Employee_124,Sales,41954.47,35,4.0,Delhi,Unknown,2020-08-21,6,31-45
Employee_125,Sales,59666.76,36,1.0,Pune,No,2020-08-29,6,31-45
Employee_126,Engineering,54804.14,28,3.0,Delhi,Yes,2020-09-06,6,18-30
Employee_127,Finance,65808.93,30,1.0,Mumbai,No,2020-09-14,6,18-30
Employee_128,Finance,62111.89,29,4.0,Bangalore,No,2020-09-22,6,18-30
Employee_129,Sales,69348.24,44,5.0,Mumbai,Yes,2020-09-30,5,31-45
Employee_130,Engineering,87589.3,50,3.0,Chennai,No,2020-10-07,5,46-60
Employee_131,Engineering,58042.32,39,5.0,Chennai,Yes,2020-10-15,5,31-45
Employee_132,Sales,67230.81,52,2.0,Delhi,No,2020-10-23,5,46-60
Employee_133,Sales,72422.59,51,5.0,Pune,No,2020-10-31,5,46-60
Employee_134,Marketing,52778.03,56,3.0,Mumbai,No,2020-11-08,5,46-60
Employee_135,Finance,64033.66,39,2.0,Pune,Yes,2020-11-16,5,31-45
Employee_136,Engineering,60226.66,38,4.0,Delhi,No,2020-11-23,5,31-45
Employee_137,Engineering,61758.17,35,3.0,Chennai,Yes,2020-12-01,5,31-45
Employee_138,HR,46085.82,52,3.0,Pune,Yes,2020-12-09,5,46-60
Employee_139,Engineering,60441.18,45,3.0,Pune,Yes,2020-12-17,5,31-45
Employee_140,Unassigned,68963.97,56,5.0,Chennai,No,2020-12-25,5,46-60
Employee_141,Unassigned,86120.58,55,4.0,Mumbai,No,2021-01-02,5,46-60
Employee_142,Engineering,77266.87,24,3.0,Chennai,No,2021-01-09,5,18-30
Employee_143,Engineering,98757.28,58,4.0,Pune,Yes,2021-01-17,5,46-60
Employee_144,Engineering,46187.74,47,4.0,Mumbai,No,2021-01-25,5,46-60
Employee_145,Engineering,75701.77,44,3.0,Mumbai,No,2021-02-02,5,31-45
Employee_146,Sales,63300.16,36,4.0,Chennai,No,2021-02-10,5,31-45
Employee_147,Marketing,99416.45,25,2.0,Pune,Yes,2021-02-18,5,18-30
Employee_148,Engineering,45450.63,50,3.0,Delhi,No,2021-02-25,5,46-60
Employee_149,Sales,44885.01,43,4.0,Pune,Unknown,2021-03-05,5,31-45
Employee_150,Engineering,49210.93,46,3.0,Bangalore,No,2021-03-13,5,46-60
Employee_151,Finance,62111.89,34,4.0,Delhi,Yes,2021-03-21,5,31-45
Employee_152,Sales,56253.8,39,4.0,Mumbai,Yes,2021-03-29,5,31-45
Employee_153,Sales,46335.61,54,2.0,Delhi,No,2021-04-06,5,46-60
Employee_154,Engineering,62707.09,37,4.0,Mumbai,Unknown,2021-04-13,5,31-45
Employee_155,Unassigned,66151.61,23,3.0,Mumbai,No,2021-04-21,5,18-30
Employee_156,Sales,93771.08,56,4.0,Delhi,No,2021-04-29,5,46-60
Employee_157,Marketing,77107.63,55,4.0,Mumbai,Yes,2021-05-07,5,46-60
Employee_158,HR,60873.39,51,5.0,Mumbai,Yes,2021-05-15,5,46-60
Employee_159,Sales,43828.54,34,4.0,Bangalore,No,2021-05-23,5,31-45
Employee_160,HR,68854.55,34,1.0,Pune,No,2021-05-30,5,31-45
Employee_161,Engineering,36235.8,39,4.0,Pune,No,2021-06-07,5,31-45
Employee_162,Marketing,92966.26,53,4.0,Bangalore,Unknown,2021-06-15,5,46-60
Employee_163,Marketing,81229.92,53,4.0,Delhi,Yes,2021-06-23,5,46-60
Employee_164,Engineering,51554.84,56,5.0,Chennai,No,2021-07-01,5,46-60
Employee_165,Sales,29163.58,50,5.0,Chennai,Yes,2021-07-09,5,46-60
Employee_166,Finance,84369.7,50,3.0,Chennai,No,2021-07-16,5,46-60
Employee_167,Engineering,57938.28,37,3.0,Bangalore,No,2021-07-24,5,31-45
Employee_168,Sales,82280.69,31,4.0,Bangalore,No,2021-08-01,5,31-45
Employee_169,Sales,31300.3,51,4.0,Mumbai,No,2021-08-09,5,46-60
Employee_170,Marketing,49211.25,46,5.0,Chennai,No,2021-08-17,5,46-60
Employee_171,Marketing,60094.39,41,5.0,Delhi,Unknown,2021-08-25,5,31-45
Employee_172,Sales,60845.65,26,3.0,Delhi,No,2021-09-01,5,18-30
Employee_173,Engineering,51898.82,22,3.0,Chennai,Yes,2021-09-09,5,18-30
Employee_174,Sales,71211.3,51,5.0,Chennai,Yes,2021-09-17,5,46-60
Employee_175,Marketing,40782.83,24,3.0,Chennai,No,2021-09-25,4,18-30
Employee_176,Sales,57437.17,35,5.0,Bangalore,No,2021-10-03,4,31-45
Employee_177,Marketing,62165.32,51,4.0,Bangalore,No,2021-10-11,4,46-60
Employee_178,Engineering,69259.9,25,4.0,Bangalore,Unknown,2021-10-18,4,18-30
Employee_179,Finance,72809.07,39,2.0,Pune,Yes,2021-10-26,4,31-45
Employee_180,Sales,39756.44,58,4.0,Delhi,Unknown,2021-11-03,4,46-60
Employee_181,Engineering,32385.94,46,4.0,Delhi,Yes,2021-11-11,4,46-60
Employee_182,Sales,82998.18,22,4.0,Mumbai,Yes,2021-11-19,4,18-30
Employee_183,Finance,65981.65,36,3.0,Bangalore,Yes,2021-11-27,4,31-45
Employee_184,Finance,46527.24,30,4.0,Pune,No,2021-12-05,4,18-30
Employee_185,Engineering,87920.74,36,5.0,Pune,Yes,2021-12-12,4,31-45
Employee_186,Marketing,59856.49,45,3.0,Delhi,Yes,2021-12-20,4,31-45
Employee_187,Finance,81227.35,25,2.0,Bangalore,No,2021-12-28,4,18-30
Employee_188,Marketing,61215.33,33,1.0,Mumbai,No,2022-01-05,4,31-45
Employee_189,Engineering,97093.46,58,4.0,Bangalore,Yes,2022-01-13,4,46-60
Employee_190,Sales,56253.8,58,4.0,Chennai,No,2022-01-21,4,46-60
Employee_191,Sales,55518.65,27,4.0,Bangalore,No,2022-01-28,4,18-30
Employee_192,Finance,77488.28,45,3.0,Chennai,No,2022-02-05,4,31-45
Employee_193,Finance,71616.77,32,3.0,Chennai,Unknown,2022-02-13,4,31-45
Employee_194,Marketing,84635.37,34,4.0,Mumbai,No,2022-02-21,4,31-45
Employee_195,Engineering,42631.38,55,4.0,Delhi,Unknown,2022-03-01,4,46-60
Employee_196,Engineering,72348.93,46,4.0,Bangalore,Yes,2022-03-09,4,46-60
Employee_197,HR,79051.64,28,2.0,Chennai,No,2022-03-16,4,18-30
Employee_198,Finance,28342.69,25,4.0,Bangalore,Yes,2022-03-24,4,18-30
Employee_199,Finance,38701.35,29,4.0,Delhi,No,2022-04-01,4,18-30
Employee_200,HR,23293.82,42,4.0,Delhi,No,2022-04-09,4,31-45
Employee_201,Marketing,55150.68,50,4.0,Pune,Yes,2022-04-17,4,46-60
Employee_202,Sales,72915.76,31,4.0,Delhi,Yes,2022-04-25,4,31-45
Employee_203,Sales,56253.8,55,4.0,Mumbai,No,2022-05-02,4,46-60
Employee_204,Finance,61333.71,47,2.0,Chennai,No,2022-05-10,4,46-60
Employee_205,Marketing,89315.08,24,2.0,Pune,Yes,2022-05-18,4,18-30
Employee_206,Sales,35158.17,27,4.0,Mumbai,No,2022-05-26,4,18-30
Employee_207,Sales,29339.12,26,4.0,Bangalore,Yes,2022-06-03,4,18-30
Employee_208,Marketing,59000.14,26,3.0,Chennai,Yes,2022-06-11,4,18-30
Employee_209,Sales,66913.18,44,2.0,Delhi,Yes,2022-06-18,4,31-45
Employee_210,Sales,59411.49,30,2.0,Chennai,No,2022-06-26,4,18-30
Employee_211,Engineering,22786.04,56,5.0,Bangalore,No,2022-07-04,4,46-60
Employee_212,Marketing,58395.84,41,3.0,Pune,No,2022-07-12,4,31-45
Employee_213,Marketing,36519.55,56,3.0,Pune,Yes,2022-07-20,4,46-60
Employee_214,Sales,72054.11,39,3.0,Pune,No,2022-07-28,4,31-45
Employee_215,Sales,66598.77,38,3.0,Delhi,No,2022-08-04,4,31-45
Employee_216,Sales,43082.16,45,2.0,Mumbai,No,2022-08-12,4,31-45
Employee_217,Engineering,50750.4,24,4.0,Mumbai,No,2022-08-20,4,18-30
Employee_218,HR,40934.16,53,2.0,Chennai,No,2022-08-28,4,46-60
Employee_219,Marketing,58871.78,56,5.0,Delhi,No,2022-09-05,4,46-60
Employee_220,Finance,77192.56,59,3.0,Pune,No,2022-09-13,4,46-60
Employee_221,Marketing,42256.93,34,4.0,Pune,No,2022-09-20,4,31-45
Employee_222,Marketing,69072.84,46,5.0,Bangalore,Yes,2022-09-28,3,46-60
Employee_223,Sales,50455.36,30,4.0,Bangalore,Yes,2022-10-06,3,18-30
Employee_224,Engineering,45728.29,25,4.0,Pune,No,2022-10-14,3,18-30
Employee_225,Engineering,58073.45,35,3.0,Pune,Yes,2022-10-22,3,31-45
Employee_226,Sales,41365.64,58,3.0,Delhi,Yes,2022-10-30,3,46-60
Employee_227,Unassigned,50034.31,55,4.0,Mumbai,Yes,2022-11-06,3,46-60
Employee_228,Engineering,38438.2,32,4.0,Bangalore,No,2022-11-14,3,31-45
Employee_229,Finance,95365.05,24,4.0,Mumbai,No,2022-11-22,3,18-30
Employee_230,Marketing,60634.74,49,4.0,Delhi,Yes,2022-11-30,3,46-60
Employee_231,HR,47404.94,50,4.0,Pune,Yes,2022-12-08,3,46-60
Employee_232,Engineering,63851.64,30,4.0,Mumbai,No,2022-12-16,3,18-30
Employee_233,Marketing,57978.1,24,2.0,Pune,No,2022-12-23,3,18-30
Employee_234,Engineering,56022.55,46,4.0,Pune,No,2022-12-31,3,46-60
Employee_235,Sales,56253.8,55,4.0,Chennai,No,2023-01-08,3,46-60
Employee_236,HR,73635.14,33,3.0,Mumbai,Unknown,2023-01-16,3,31-45
Employee_237,Engineering,50450.98,30,4.0,Mumbai,No,2023-01-24,3,18-30
Employee_238,Sales,49635.27,36,3.0,Pune,Yes,2023-02-01,3,31-45
Employee_239,Marketing,55049.07,46,4.0,Delhi,Yes,2023-02-08,3,46-60
Employee_240,Sales,18565.42,26,2.0,Chennai,No,2023-02-16,3,18-30
Employee_241,Finance,32726.56,32,4.0,Pune,Yes,2023-02-24,3,31-45
Employee_242,Unassigned,84603.74,55,5.0,Bangalore,Yes,2023-03-04,3,46-60
Employee_243,Sales,65636.89,45,3.0,Bangalore,Yes,2023-03-12,3,31-45
Employee_244,Engineering,55517.35,36,4.0,Chennai,No,2023-03-20,3,31-45
Employee_245,Sales,70378.03,59,5.0,Delhi,Yes,2023-03-28,3,46-60
Employee_246,Finance,65602.5,29,5.0,Pune,No,2023-04-04,3,18-30
Employee_247,Engineering,115419.85,26,3.0,Mumbai,Yes,2023-04-12,3,18-30
Employee_248,Unassigned,80152.35,47,3.0,Chennai,No,2023-04-20,3,46-60
Employee_249,Unassigned,57697.48,39,3.0,Delhi,Yes,2023-04-28,3,31-45
Employee_250,Finance,42800.27,27,4.0,Mumbai,No,2023-05-06,3,18-30
Employee_251,Engineering,31083.97,58,5.0,Bangalore,No,2023-05-14,3,46-60
Employee_252,Engineering,63662.35,34,4.0,Bangalore,Yes,2023-05-21,3,31-45
Employee_253,Finance,46385.69,49,5.0,Mumbai,Yes,2023-05-29,3,46-60
Employee_254,Engineering,34399.43,26,4.0,Chennai,No,2023-06-06,3,18-30
Employee_255,Sales,48361.69,34,4.0,Bangalore,Yes,2023-06-14,3,31-45
Employee_256,Marketing,40532.14,38,2.0,Pune,Unknown,2023-06-22,3,31-45
Employee_257,Finance,90368.55,53,5.0,Mumbai,No,2023-06-30,3,46-60
Employee_258,Marketing,75869.52,50,2.0,Mumbai,No,2023-07-07,3,46-60
Employee_259,Marketing,59856.49,24,5.0,Bangalore,No,2023-07-15,3,18-30
Employee_260,Sales,86638.99,55,5.0,Chennai,Yes,2023-07-23,3,46-60
Employee_261,Marketing,61392.63,48,4.0,Pune,Yes,2023-07-31,3,46-60
Employee_262,Unassigned,44496.88,34,1.0,Chennai,Unknown,2023-08-08,3,31-45
Employee_263,Sales,87416.23,54,3.0,Delhi,Yes,2023-08-16,3,46-60
Employee_264,Engineering,69700.38,27,3.0,Delhi,No,2023-08-23,3,18-30
Employee_265,Finance,41329.57,45,3.0,Bangalore,Yes,2023-08-31,3,31-45
Employee_266,HR,56573.9,40,2.0,Bangalore,No,2023-09-08,3,31-45
Employee_267,Marketing,44238.87,37,5.0,Bangalore,No,2023-09-16,3,31-45
Employee_268,HR,35109.6,49,4.0,Delhi,No,2023-09-24,2,46-60
Employee_269,Engineering,76671.2,54,3.0,Chennai,No,2023-10-02,2,46-60
Employee_270,Engineering,94369.5,34,3.0,Chennai,No,2023-10-09,2,31-45
Employee_271,Finance,34825.78,46,4.0,Bangalore,Unknown,2023-10-17,2,46-60
Employee_272,Finance,70133.45,57,4.0,Pune,Yes,2023-10-25,2,46-60
Employee_273,Finance,48288.43,48,4.0,Chennai,No,2023-11-02,2,46-60
Employee_274,Engineering,51231.74,59,5.0,Delhi,Yes,2023-11-10,2,46-60
Employee_275,Engineering,49336.91,28,4.0,Mumbai,Yes,2023-11-18,2,18-30
Employee_276,Engineering,44448.17,26,4.0,Mumbai,Unknown,2023-11-25,2,18-30
Employee_277,HR,60873.39,52,5.0,Mumbai,Yes,2023-12-03,2,46-60
Employee_278,Marketing,45042.9,44,3.0,Pune,No,2023-12-11,2,31-45
Employee_279,HR,64868.22,42,5.0,Bangalore,Yes,2023-12-19,2,31-45
Employee_280,HR,59095.71,53,2.0,Delhi,Unknown,2023-12-27,2,46-60
Employee_281,Finance,55698.94,51,5.0,Pune,No,2024-01-04,2,46-60
Employee_282,Engineering,43663.85,52,3.0,Delhi,No,2024-01-11,2,46-60
Employee_283,Engineering,49618.12,39,5.0,Delhi,Yes,2024-01-19,2,31-45
Employee_284,Sales,73597.04,57,5.0,Bangalore,Unknown,2024-01-27,2,46-60
Employee_285,Marketing,69016.51,23,5.0,Mumbai,Yes,2024-02-04,2,18-30
Employee_286,Sales,42404.01,35,5.0,Bangalore,No,2024-02-12,2,31-45
Employee_287,Engineering,61787.98,34,3.0,Pune,No,2024-02-20,2,31-45
Employee_288,Engineering,73524.97,50,2.0,Pune,Yes,2024-02-27,2,46-60
Employee_289,Engineering,29950.7,33,4.0,Pune,No,2024-03-06,2,31-45
Employee_290,Marketing,69780.48,23,3.0,Bangalore,Yes,2024-03-14,2,18-30
Employee_291,Sales,48072.77,53,4.0,Delhi,Yes,2024-03-22,2,46-60
Employee_292,Sales,70270.78,34,3.0,Delhi,No,2024-03-30,2,31-45
Employee_293,Finance,46261.34,48,4.0,Chennai,Yes,2024-04-07,2,46-60
Employee_294,Engineering,27512.12,38,4.0,Pune,Yes,2024-04-14,2,31-45
Employee_295,Sales,30704.24,52,5.0,Delhi,Yes,2024-04-22,2,46-60
Employee_296,Engineering,60865.53,55,2.0,Chennai,No,2024-04-30,2,46-60
Employee_297,Sales,64675.01,45,5.0,Delhi,No,2024-05-08,2,31-45
Employee_298,Sales,43722.3,56,5.0,Pune,No,2024-05-16,2,46-60
Employee_299,Marketing,71494.66,27,4.0,Mumbai,Yes,2024-05-24,2,18-30
Employee_300,Sales,30092.64,40,4.0,Pune,Yes,2024-06-01,2,31-45
